# mode ffa
# 8 plies, depth 4, band spread <=250, setup all, seed 1
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','j12:j11','l5:k5')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,5/10,yP,3/bR,bP,7,yP,1,gP,1,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gQ/bK,1,bP,9,gP,gK/bB,bP,bN,9,gP,gB/1,bP,8,gP,2,gN/bR,bP,10,gP,gR/5,rP,4,rN,3/3,rP,rP,1,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,1,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','c9:d9','','l4:k4')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,1,yP,1,yP,yP,yP,yP,3/4,yP,1,yP,7/bR,bP,10,gP,gR/bN,1,bP,9,gP,gN/bB,2,bP,8,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,9,gN,gP,gB/bN,bP,10,gP,1/bR,bP,6,rP,1,gP,2,gR/3,rP,10/4,rP,rP,rP,rP,1,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','','l9:k9')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/4,yP,yP,yP,yP,yP,1,yP,3/3,yP,5,yP,4/bR,bP,10,gP,gR/bN,bP,10,gP,gN/bB,1,bP,7,gP,2,gB/bK,bP,10,gP,gK/bQ,bP,10,gP,gQ/bB,bP,9,gN,gP,gB/bN,bP,10,gP,1/bR,1,bP,9,gP,gR/4,rP,rN,8/3,rP,1,rP,rP,rP,rP,rP,rP,3/3,rR,1,rB,rK,rQ,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('h3:h4','c6:d6','i12:i11','l5:k5')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,1,yP,1,yP,yP,3/14/bR,bP,4,yP,1,yP,3,gP,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bK,bP,10,gP,gQ/bQ,bP,10,gP,gK/bB,2,bP,6,gP,2,gB/bN,1,bP,7,gP,2,gN/bR,bP,5,rP,4,gP,gR/3,rN,10/3,rP,rP,rP,rP,1,rP,rP,rP,3/3,rR,1,rB,rQ,rK,rB,rN,rR,3
modern R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,1,yP,yP,yP,yP,4/5,yP,8/bR,bP,8,yP,gN,gP,gR/bN,bP,10,gP,1/1,bP,9,gP,1,gB/bQ,1,bP,9,gP,gK/bK,bP,10,gP,gQ/bB,bP,1,bB,8,gP,gB/bN,bP,10,gP,gN/bR,bP,6,rP,3,gP,gR/3,rP,10/4,rP,rP,rP,rP,1,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,0-1,1,1,0-0,0,0,0-1-{'enPassant':('','c10:d10','','')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,1,yP,yP,yP,yP,1,yP,3/9,yP,4/bR,bP,2,yP,7,gP,gR/bN,2,bP,8,gP,gN/bB,bP,10,gP,gB/bQ,bP,8,gP,1,gK,gQ/bK,2,bP,8,gP,1/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,10,gP,gR/3,rP,1,rP,8/4,rP,1,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('d3:d4','','','')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,1,yP,1,yP,yP,3/8,yP,5/bR,bP,4,yP,5,gP,gR/1,bP,9,gP,1,gN/bB,1,bN,bP,7,gP,1,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,1,rP,8,gP,gR/6,rP,7/4,rP,rP,1,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('d3:d4','c10:d10','','l10:k10')}-3,yR,1,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,yP,4/5,yN,8/bR,bP,bN,7,yP,1,gP,gR/3,bP,6,gP,2,gN/bB,bP,10,gP,gB/bK,bP,10,gP,gK/bQ,bP,10,gP,gQ/bB,bP,9,gN,gP,gB/bN,bP,10,gP,1/bR,bP,1,rP,2,rP,5,gP,gR/14/4,rP,rP,1,rP,rP,rP,rP,3/3,rR,rN,rB,rK,rQ,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-3-{'enPassant':('e3:e4','','','')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,yP,yP,3/14/bR,bP,9,gN,gP,gR/bN,2,bP,8,gP,1/bB,bP,10,gP,gB/bK,bP,10,gP,gQ/bQ,bP,10,gP,gK/bB,bP,9,gP,1,gB/1,bP,10,gP,gN/bR,bP,bN,1,rP,3,rP,3,gP,gR/14/3,rP,1,rP,rP,rP,1,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
modern R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('k3:k4','','f12:f11','')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,2,yP,yP,yP,yP,3/6,yP,7/bR,bP,3,yP,6,gP,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,9,gP,1,gK/bK,bP,10,gP,gQ/bB,bP,10,gP,gB/1,bP,10,gP,1/bR,1,bN,bP,6,rP,gN,gP,gR/9,rP,4/3,rP,rP,rP,rP,rP,rP,5/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
